agent,skill_luck_verdict,evidence_label,confidence_label,final_classification,stability_classification,verdict_reason,cumulative_return,annualized_sharpe,trade_level_return_ratio,max_drawdown,RCSI,RCSI_z,p_value,adjusted_p_value,p_value_prominence,actual_percentile,number_of_trades,number_of_periods,transaction_cost,research_grade,artifact_run_id,signal_count,trades_per_month,average_holding_bars,average_holding_days,average_holding_hours,activity_status,activity_warning
trend_pullback,Random / Luck,Random / Luck,Low,random / luck,not available,"The result is statistically consistent with the null distribution. raw p=0.430; BH-adjusted p=0.752; percentile=57.0; RCSI_z=0.209. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.011543144446782394,0.278870756858151,0.11100008697204683,-0.03572214735001655,0.0098065827074312,0.209004465482361,0.4302848575712144,0.7517491254372815,0.36624393718255666,57.02148925537232,7,2464,0.00047,False,run_20260403T204755Z_pid9049,7.0,0.5917717856729545,26.857142857142858,5.142857142857143,136.0,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
breakout_volume_momentum,Random / Luck,Random / Luck,Low,random / luck,not available,"The result is statistically consistent with the null distribution. raw p=0.466; BH-adjusted p=0.752; percentile=53.5; RCSI_z=0.099. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.006861779533547274,0.325696921580206,0.23987623445361336,-0.015128248954819234,0.0040776024965019,0.0991291776379914,0.4657671164417791,0.7517491254372815,0.3318311762822301,53.47326336831584,5,2464,0.00047,False,run_20260403T204755Z_pid9049,5.0,0.4862867793902277,23.2,4.2,103.0,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
mean_reversion_vol_filter,Random / Luck,Random / Luck,Low,random / luck,not available,"The result is statistically consistent with the null distribution. raw p=0.460; BH-adjusted p=0.752; percentile=54.1; RCSI_z=0.093. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.0018861055016727857,0.07112371865764093,0.07449966894452402,-0.0222468615977528,0.0020094710081398,0.0932585135055072,0.4597701149425287,0.7517491254372815,0.3374592612906562,54.07296351824088,3,2464,0.00047,False,run_20260403T204755Z_pid9049,3.0,0.3056911703166411,11.666666666666666,1.3333333333333333,40.0,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
trend_momentum_verification,Random / Luck,Random / Luck,Low,random / luck,not available,"The result is statistically consistent with the null distribution. raw p=0.624; BH-adjusted p=0.762; percentile=37.7; RCSI_z=-0.269. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.00017047713510032203,0.019709420308487026,0.007081156765223683,-0.03543434324409667,-0.0168215986451773,-0.2693524697555519,0.623688155922039,0.7622855239047143,0.20503250328980624,37.68115942028986,13,2464,0.00047,False,run_20260403T204755Z_pid9049,13.0,0.8714783885473065,23.23076923076923,4.615384615384615,115.3846153846154,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
adx_trend_following,Negative Skill,Negative Skill,Low,negative skill,not available,"The result is worse than the random null on all three metrics. raw p=0.783; BH-adjusted p=0.783; percentile=21.7; RCSI_z=-0.653. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",-0.020404326108733217,-0.746987318421571,-0.4575712035138305,-0.031568895555390664,-0.0248333958445073,-0.6534048908880448,0.7831084457771115,0.7831084457771115,0.10617809216762125,21.73913043478261,5,2464,0.00047,False,run_20260403T204755Z_pid9049,5.0,0.5284288194444444,22.0,4.2,114.8,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
uptrend_oversold_reversion,Weak Skill,Weak Skill,Moderate,weak skill,not available,"There is some evidence of edge, but it remains modest. raw p=0.053; BH-adjusted p=0.569; percentile=94.8; RCSI_z=1.632. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.060497213094037994,1.1618126451086355,0.2936853373790493,-0.024854393463358493,0.067376776480687,1.6318837376450486,0.0529735132433783,0.5689655172413793,1.2759412233714413,94.75262368815592,25,2464,0.00047,False,run_20260403T204755Z_pid9049,25.0,1.647050865800866,4.8,0.8,33.88,overactive,Trade frequency is high relative to holding period. Review whether the strategy is chasing noise.
volatility_squeeze_breakout,Random / Luck,Random / Luck,Low,random / luck,not available,"The result is statistically consistent with the null distribution. raw p=0.510; BH-adjusted p=0.752; percentile=49.1; RCSI_z=-0.030. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.0027280985967255145,0.2108182874556045,2.249166128329304,-0.006881307450854357,-0.0007402437944611,-0.0300959347694731,0.5097451274362819,0.7517491254372815,0.29264691687429384,49.07546226886557,2,2464,0.00047,False,run_20260403T204755Z_pid9049,2.0,0.3309173272933182,23.0,5.0,122.0,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
connors_rsi2_pullback,Random / Luck,Random / Luck,Low,random / luck,not available,"The result is statistically consistent with the null distribution. raw p=0.471; BH-adjusted p=0.752; percentile=53.0; RCSI_z=0.148. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.0008677275116131256,0.05299286159575697,0.05649571739498115,-0.009037516835326276,0.0017795427120181,0.1482377137910705,0.4707646176911544,0.7517491254372815,0.32719618584333404,52.973513243378314,2,2464,0.00047,False,run_20260403T204755Z_pid9049,2.0,0.1532571068918493,7.5,1.0,24.5,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
donchian_trend_reentry,Random / Luck,Random / Luck,Low,random / luck,not available,"The result is statistically consistent with the null distribution. raw p=0.700; BH-adjusted p=0.770; percentile=30.1; RCSI_z=-0.453. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",-0.009001473905295598,-0.24016012402714593,-0.15344781223660164,-0.02930753907270711,-0.0201449589328594,-0.4528540876623969,0.6996501749125438,0.7696151924037982,0.15511905295797335,30.08495752123938,5,2464,0.00047,False,run_20260403T204755Z_pid9049,5.0,0.5300391815411406,28.8,5.8,149.0,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
turn_of_month_seasonality,Weak Skill,Weak Skill,Moderate,weak skill,not available,"There is some evidence of edge, but it remains modest. raw p=0.103; BH-adjusted p=0.569; percentile=89.7; RCSI_z=1.216. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.07113261117496994,1.5878602291304615,0.5821629357359771,-0.018702300297782637,0.0630797996901224,1.2159871143026908,0.1034482758620689,0.5689655172413793,0.9852767431792939,89.70514742628686,8,2464,0.00047,False,run_20260403T204755Z_pid9049,11.0,0.5314176593616441,23.5,4.25,106.375,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
