agent,skill_luck_verdict,evidence_label,confidence_label,final_classification,stability_classification,verdict_reason,cumulative_return,annualized_sharpe,trade_level_return_ratio,max_drawdown,RCSI,RCSI_z,p_value,adjusted_p_value,p_value_prominence,actual_percentile,number_of_trades,number_of_periods,transaction_cost,research_grade,artifact_run_id,signal_count,trades_per_month,average_holding_bars,average_holding_days,average_holding_hours,activity_status,activity_warning
trend_pullback,Random / Luck,Random / Luck,Low,random / luck,stable,The result is statistically consistent with the null distribution. raw p=0.636; BH-adjusted p=0.964; percentile=36.4; RCSI_z=-0.473. Robustness stability: stable. BH-adjusted p-value is shown for reference only and is not used by the final class label.,0.47926706986171475,0.2383659913826818,0.10781613430729861,-0.33853771733474336,-0.3672722109520128,-0.4730753361913073,0.6362727454509098,0.9636072785442912,0.19635667923710504,36.39272145570886,119,6131,0.00047,True,run_20260403T150647Z_pid85151,119.0,0.4366561181434599,10.210084033613445,14.907563025210084,357.781512605042,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
breakout_volume_momentum,Negative Skill,Negative Skill,Low,negative skill,stable,The result is worse than the random null on all three metrics. raw p=0.708; BH-adjusted p=0.964; percentile=29.2; RCSI_z=-0.612. Robustness stability: stable. BH-adjusted p-value is shown for reference only and is not used by the final class label.,0.17861191867700166,0.14461025923430385,0.07543035116741237,-0.22697087221972567,-0.3150460895188828,-0.6119150915700295,0.7084583083383323,0.9636072785442912,0.1496857022144905,29.17416516696661,89,6131,0.00047,True,run_20260403T150647Z_pid85151,89.0,0.3233394008116495,8.92134831460674,12.887640449438202,309.30337078651684,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
mean_reversion_vol_filter,Random / Luck,Random / Luck,Low,random / luck,stable,The result is statistically consistent with the null distribution. raw p=0.340; BH-adjusted p=0.938; percentile=66.0; RCSI_z=0.390. Robustness stability: stable. BH-adjusted p-value is shown for reference only and is not used by the final class label.,0.04326978866875564,0.16008520596653877,0.4833412131378429,-0.020388227771816814,0.0292387527441419,0.3902615713944617,0.3397320535892821,0.9375624875024996,0.4688634756786222,66.04679064187162,5,6131,0.00047,True,run_20260403T150647Z_pid85151,5.0,0.0260997256045275,6.6,9.4,225.6,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
trend_momentum_verification,Random / Luck,Random / Luck,Low,random / luck,stable,The result is statistically consistent with the null distribution. raw p=0.547; BH-adjusted p=0.964; percentile=45.3; RCSI_z=-0.287. Robustness stability: stable. BH-adjusted p-value is shown for reference only and is not used by the final class label.,1.1825554324065481,0.45430817091159376,0.22929744287847462,-0.15942444211082452,-0.3410171484586644,-0.2874786235382223,0.5474905018996201,0.9636072785442912,0.26162341074969653,45.27094581083783,87,6131,0.00047,True,run_20260403T150647Z_pid85151,87.0,0.3170572916666667,20.04597701149425,29.13793103448276,699.3103448275862,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
adx_trend_following,Negative Skill,Negative Skill,Low,negative skill,stable,The result is worse than the random null on all three metrics. raw p=0.865; BH-adjusted p=0.964; percentile=13.6; RCSI_z=-0.995. Robustness stability: stable. BH-adjusted p-value is shown for reference only and is not used by the final class label.,0.3824969719835578,0.21531840706949149,0.10662645969477778,-0.18369284681271247,-1.0606547591242672,-0.994569793367033,0.864627074585083,0.9636072785442912,0.063171169266395,13.557288542291545,108,6131,0.00047,True,run_20260403T150647Z_pid85151,108.0,0.397875816993464,15.435185185185183,22.28703703703704,534.8888888888889,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
uptrend_oversold_reversion,Weak Skill,Weak Skill,Moderate,weak skill,stable,"There is some evidence of edge, but it remains modest. raw p=0.179; BH-adjusted p=0.938; percentile=82.1; RCSI_z=0.900. Robustness stability: stable. BH-adjusted p-value is shown for reference only and is not used by the final class label.",0.3310889384728799,0.3051789440695308,0.18100514465849726,-0.1380158299609291,0.2116197439707896,0.899679747485919,0.1793641271745651,0.9375624875024996,0.7462644115035757,82.08358328334333,72,6131,0.00047,True,run_20260403T150647Z_pid85151,72.0,0.2665734095608806,3.8333333333333335,5.486111111111111,131.66666666666666,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
volatility_squeeze_breakout,Negative Skill,Negative Skill,Low,negative skill,stable,The result is worse than the random null on all three metrics. raw p=0.686; BH-adjusted p=0.964; percentile=31.4; RCSI_z=-0.518. Robustness stability: stable. BH-adjusted p-value is shown for reference only and is not used by the final class label.,0.025108667295929976,0.0525447190439289,0.0612336540124713,-0.08598962688307421,-0.1071611685880646,-0.5177338992621199,0.6858628274345131,0.9636072785442912,0.16376273450489726,31.43371325734853,19,6131,0.00047,True,run_20260403T150647Z_pid85151,19.0,0.0740003198976327,12.31578947368421,17.57894736842105,421.89473684210526,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
connors_rsi2_pullback,Strong Skill,Strong Skill,High,strong skill,stable,All three metrics point to a strong edge over the null distribution. raw p=0.023; BH-adjusted p=0.251; percentile=97.7; RCSI_z=2.284. Robustness stability: stable. BH-adjusted p-value is shown for reference only and is not used by the final class label.,0.6814499846386639,0.5266708484947018,0.27292692216595843,-0.10094336451443864,0.5584372803908724,2.2835541540147863,0.0227954409118176,0.250749850029994,1.6421520032111958,97.74045190961807,106,6131,0.00047,True,run_20260403T150647Z_pid85151,106.0,0.386531089014017,2.679245283018868,3.811320754716981,91.47169811320757,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
donchian_trend_reentry,Negative Skill,Negative Skill,Low,negative skill,stable,The result is worse than the random null on all three metrics. raw p=0.889; BH-adjusted p=0.964; percentile=11.1; RCSI_z=-1.087. Robustness stability: stable. BH-adjusted p-value is shown for reference only and is not used by the final class label.,0.12086844550328624,0.10689568389844645,0.05922750582405997,-0.13872430919293333,-0.8587687865002687,-1.08708329331358,0.8894221155768847,0.9636072785442912,0.050892075973666684,11.077784443111378,87,6131,0.00047,True,run_20260403T150647Z_pid85151,87.0,0.3220311929952572,14.839080459770114,21.528735632183903,516.6896551724138,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
turn_of_month_seasonality,Random / Luck,Random / Luck,Low,random / luck,stable,The result is statistically consistent with the null distribution. raw p=0.341; BH-adjusted p=0.938; percentile=65.9; RCSI_z=0.251. Robustness stability: stable. BH-adjusted p-value is shown for reference only and is not used by the final class label.,0.6238168546406948,0.3584183787476213,0.12206549728001115,-0.17638448183811029,0.1354118747527531,0.2510907925721544,0.3409318136372725,0.9375624875024996,0.46733247121915134,65.92681463707258,192,6131,0.00047,True,run_20260403T150647Z_pid85151,192.0,0.6957142857142857,4.515625,6.453125,154.875,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
